"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","06-Jun-2019","        419.10","        417.40","        417.85","        410.35","        411.30","        411.55","        414.37","   17762399","          7360203167.85","     157316","   10147552","         57.13"
"ICICIBANK","EQ","07-Jun-2019","        411.55","        413.50","        418.95","        407.90","        417.45","        416.60","        414.74","   14107696","          5851027471.25","     147237","    4487315","         31.81"
"ICICIBANK","EQ","10-Jun-2019","        416.60","        418.90","        422.75","        413.00","        416.10","        416.10","        417.03","   13074522","          5452431738.40","     148593","    5308196","         40.60"
"ICICIBANK","EQ","11-Jun-2019","        416.10","        418.45","        423.70","        413.05","        422.00","        421.35","        419.85","   10939138","          4592812523.20","     111196","    4402035","         40.24"
"ICICIBANK","EQ","12-Jun-2019","        421.35","        422.00","        422.00","        414.80","        418.60","        418.00","        417.27","   11136959","          4647163886.75","      96797","    6062635","         54.44"
"ICICIBANK","EQ","13-Jun-2019","        418.00","        416.70","        422.30","        415.30","        420.15","        419.60","        418.62","   12164077","          5092118754.15","     126343","    6873248","         56.50"
"ICICIBANK","EQ","14-Jun-2019","        419.60","        420.30","        422.00","        416.10","        417.60","        417.75","        418.86","    8601256","          3602745408.60","     114906","    3354907","         39.00"
"ICICIBANK","EQ","17-Jun-2019","        417.75","        418.95","        419.70","        413.15","        414.80","        414.20","        415.63","    9539802","          3964982807.85","      83520","    5031954","         51.75"
"ICICIBANK","EQ","18-Jun-2019","        414.20","        415.45","        426.05","        415.10","        422.40","        422.15","        421.58","   17761348","          7487788911.70","     167423","    7976778","         44.09"
"ICICIBANK","EQ","19-Jun-2019","        422.15","        423.75","        426.00","        417.35","        421.10","        419.80","        422.34","   17010384","          7184114383.95","     160346","    9449985","         55.55"
"ICICIBANK","EQ","20-Jun-2019","        419.80","        419.75","        434.65","        419.00","        433.00","        433.40","        427.74","   24315929","         10400898894.45","     234583","   15283821","         62.86"
"ICICIBANK","EQ","21-Jun-2019","        433.40","        434.20","        435.20","        428.85","        431.00","        430.80","        431.95","   13909654","          6008334356.85","     112785","    6871863","         49.40"
"ICICIBANK","EQ","24-Jun-2019","        430.80","        431.45","        433.80","        428.20","        430.15","        429.45","        430.92","    8545999","          3682615225.10","     121147","    4603634","         53.87"
"ICICIBANK","EQ","25-Jun-2019","        429.45","        427.90","        434.80","        424.60","        433.00","        433.65","        429.37","   12964387","          5566569759.85","     109615","    6170791","         47.60"
"ICICIBANK","EQ","26-Jun-2019","        433.65","        432.50","        440.00","        432.50","        438.20","        438.65","        437.59","   12261068","          5365262507.45","     110991","    4587223","         37.41"
"ICICIBANK","EQ","27-Jun-2019","        438.65","        438.00","        443.90","        437.60","        439.30","        440.95","        441.05","   18787957","          8286503742.30","     112986","   10038826","         53.43"
"ICICIBANK","EQ","28-Jun-2019","        440.95","        439.50","        440.50","        433.60","        436.70","        437.10","        437.24","   13459208","          5884939193.90","     124084","    6676206","         49.60"
"ICICIBANK","EQ","01-Jul-2019","        437.10","        439.50","        442.00","        437.70","        438.00","        439.00","        440.52","    6871979","          3027269268.25","      81553","    3111616","         45.28"
"ICICIBANK","EQ","02-Jul-2019","        439.00","        439.00","        440.00","        433.60","        436.90","        436.75","        436.41","    7787303","          3398464352.35","     108074","    3459006","         44.42"
